etID  | Input | Output {GOLD}
0      | #ar# | #hɐr# {GOLD: #hɐr#}
1      | #am# | #hɐm# {GOLD: #hɐm#}
2      | #ma# | #ma# {GOLD: #ma#}
3      | #ma# | #ma# {GOLD: #ma#}
4      | #maak# | #mak# {GOLD: #mak#}
5      | #maj# | #maj# {GOLD: #maj#}
6      | #maŋ# | #mɐŋ# {GOLD: #mɐŋ#}
7      | #maŋ# | #mɐŋ# {GOLD: #mɐŋ#}
8      | #maaŋ# | #maŋ# {GOLD: #maŋ#}
9      | #met# | #met# {GOLD: #met#}
10     | #mej# | #mej# {GOLD: #mej#}
11     | #mej# | #mej# {GOLD: #mej#}
12     | #mej# | #mej# {GOLD: #mej#}
13     | #mej# | #mej# {GOLD: #mej#}
14     | #mi# | #mi# {GOLD: #mi#}
15     | #mi# | #mi# {GOLD: #mi#}
16     | #mi# | #mi# {GOLD: #mi#}
17     | #mit# | #mit# {GOLD: #mit#}
18     | #min# | #min# {GOLD: #min#}
19     | #mik# | #mik# {GOLD: #mik#}
20     | #miŋ# | #miŋ# {GOLD: #miŋ#}
21     | #mor# | #mor# {GOLD: #mor#}
22     | #mow# | #muj# {GOLD: #muj#}
23     | #mow# | #muj# {GOLD: #muj#}
24     | #mow# | #muj# {GOLD: #muj#}
25     | #mot# | #mot# {GOLD: #mot#}
26     | #muk# | #muk# {GOLD: #muk#}
27     | #wa# | #wa# {GOLD: #va#}
28     | #wa# | #wa# {GOLD: #va#}
29     | #waar# | #war# {GOLD: #var#}
30     | #waw# | #waw# {GOLD: #vaw#}
31     | #wɐt# | #wɐt# {GOLD: #vat#}
32     | #wok# | #wok# {GOLD: #wok#}
33     | #wu# | #u# {GOLD: #vu#}
34     | #baal# | #paj# {GOLD: #paj#}
35     | #baaŋ# | #paŋ# {GOLD: #paŋ#}
36     | #baj# | #paj# {GOLD: #paj#}
37     | #bet# | #pet# {GOLD: #pet#}
38     | #bʷa# | #pʷa# {GOLD: #va#}
39     | #bʷeŋ# | #pʷeŋ# {GOLD: #veŋ#}
40     | #bʷo# | #pʷo# {GOLD: #wo#}
41     | #bʷon# | #pʷon# {GOLD: #won#}
42     | #bʷu# | #pʷu# {GOLD: #wo#}
43     | #pa# | #pa# {GOLD: #pa#}
44     | #pam# | #pɐm# {GOLD: #pɐm#}
45     | #paj# | #paj# {GOLD: #paj#}
46     | #pi# | #pi# {GOLD: #pi#}
47     | #pew# | #pew# {GOLD: #pew#}
48     | #poj# | #puj# {GOLD: #puj#}
49     | #pu# | #pu# {GOLD: #fu#}
50     | #plaj# | #paj# {GOLD: #paj#}
51     | #praj# | #paj# {GOLD: #paj#}
52     | #prim# | #pim# {GOLD: #pim#}
53     | #pʰa# | #pʰa# {GOLD: #pʰa#}
54     | #pʰaar# | #pʰar# {GOLD: #pʰar#}
55     | #pʰaaŋ# | #pʰaŋ# {GOLD: #pʰaŋ#}
56     | #pʰan# | #pʰɐn# {GOLD: #pʰɐn#}
57     | #pʰe# | #pʰe# {GOLD: #pʰe#}
58     | #pʰen# | #pʰen# {GOLD: #pʰen#}
59     | #pʰej# | #pʰej# {GOLD: #pʰej#}
60     | #pʰit# | #pʰit# {GOLD: #pʰit#}
61     | #pʰuŋ# | #pʰuŋ# {GOLD: #pʰuŋ#}
62     | #pʰuŋ# | #pʰuŋ# {GOLD: #pʰuŋ#}
63     | #pʰra# | #pʰa# {GOLD: #pʰa#}
64     | #pʰrew# | #pʰew# {GOLD: #pʰew#}
65     | #pʷak# | #pʷɐk# {GOLD: #vak#}
66     | #pʷɨ# | #pʷɨ# {GOLD: #vu#}
67     | #pʷuk# | #pʷuk# {GOLD: #vuk#}
68     | #la# | #la# {GOLD: #la#}
69     | #la# | #la# {GOLD: #la#}
70     | #la# | #la# {GOLD: #la#}
71     | #la# | #la# {GOLD: #ra#}
72     | #laaŋ# | #laŋ# {GOLD: #lɐŋ#}
73     | #lat# | #lɐt# {GOLD: #lɐt#}
74     | #laj# | #laj# {GOLD: #laj#}
75     | #lɐŋ# | #lɐŋ# {GOLD: #lɐŋ#}
76     | #lɐp# | #lɐp# {GOLD: #lɐp#}
77     | #lej# | #lej# {GOLD: #lej#}
78     | #lej# | #lej# {GOLD: #lej#}
79     | #lej# | #lej# {GOLD: #lej#}
80     | #lej# | #lej# {GOLD: #lej#}
81     | #lek# | #lek# {GOLD: #lek#}
82     | #li# | #li# {GOLD: #li#}
83     | #liŋ# | #liŋ# {GOLD: #liŋ#}
84     | #liŋ# | #liŋ# {GOLD: #liŋ#}
85     | #lo# | #lo# {GOLD: #lo#}
86     | #lo# | #lo# {GOLD: #lo#}
87     | #loj# | #luj# {GOLD: #luj#}
88     | #low# | #luj# {GOLD: #luj#}
89     | #lum# | #lum# {GOLD: #lum#}
90     | #luŋ# | #luŋ# {GOLD: #luŋ#}
91     | #luŋ# | #luŋ# {GOLD: #luŋ#}
